1,arctophilia,300002,101,2019-10-22,2019-10-23
2,shined,300003,204,2019-11-21,2019-11-23
3,worded,200001,301,2019-11-18,2019-11-23
4,futilitarian45,100001,201,2019-09-13,2019-09-17
5,ataunt4956,300003,210,2019-09-23,2019-09-25
6,BISDN974,300003,307,2019-10-20,2019-10-24
7,triumviry233,100003,105,2019-11-12,2019-11-14
8,Rivera,200002,205,2019-11-23,2019-11-25
9,anodynous746,300002,308,2019-11-19,2019-11-21
10,derogations16,100002,103,2019-11-21,2019-11-25
11,BISDN2,200001,207,2019-11-01,2019-11-05
12,Byzantines60,100003,302,2019-10-29,2019-10-30
13,phalanges365,200001,303,2019-09-08,2019-09-12
14,triples033,200002,209,2019-10-21,2019-10-22
15,prestissimo49,300002,109,2019-09-13,2019-09-14
16,triumviry,100002,306,2019-10-19,2019-10-24
17,uncourteously9,200003,201,2019-08-01,2019-08-02
18,road-roller3218,200001,205,2019-11-17,2019-11-21
19,humorizing,300001,301,2019-09-18,2019-09-20
